nohup: ignoring input

=================================================================
========================== Tiny-ImageNet ==========================
=================================================================

Download not needed, files already on disk.
Download not needed, files already on disk.
==========	 task: 0	 categories: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19] 	==========
epoch: 1	 task: 0 	 category: 0 	 loss: 0.035673 	 posloss: 44.734108 	 negloss: 0.045568
epoch: 5	 task: 0 	 category: 0 	 loss: 0.010443 	 posloss: 12.341849 	 negloss: 0.050146
epoch: 10	 task: 0 	 category: 0 	 loss: 0.009480 	 posloss: 11.002793 	 negloss: 0.055174
epoch: 15	 task: 0 	 category: 0 	 loss: 0.008647 	 posloss: 10.110597 	 negloss: 0.049466
epoch: 20	 task: 0 	 category: 0 	 loss: 0.007844 	 posloss: 9.075358 	 negloss: 0.050764
epoch: 25	 task: 0 	 category: 0 	 loss: 0.007394 	 posloss: 8.533514 	 negloss: 0.049013
epoch: 30	 task: 0 	 category: 0 	 loss: 0.006999 	 posloss: 7.933525 	 negloss: 0.053936
epoch: 35	 task: 0 	 category: 0 	 loss: 0.006273 	 posloss: 7.183805 	 negloss: 0.044511
epoch: 40	 task: 0 	 category: 0 	 loss: 0.005896 	 posloss: 6.721489 	 negloss: 0.041033
epoch: 45	 task: 0 	 category: 0 	 loss: 0.005450 	 posloss: 6.148163 	 negloss: 0.043531
epoch: 50	 task: 0 	 category: 0 	 loss: 0.004954 	 posloss: 5.574146 	 negloss: 0.040350
epoch: 55	 task: 0 	 category: 0 	 loss: 0.004711 	 posloss: 5.352039 	 negloss: 0.034351
epoch: 60	 task: 0 	 category: 0 	 loss: 0.004269 	 posloss: 4.850063 	 negloss: 0.031575
epoch: 65	 task: 0 	 category: 0 	 loss: 0.003920 	 posloss: 4.301767 	 negloss: 0.033673
epoch: 70	 task: 0 	 category: 0 	 loss: 0.003500 	 posloss: 3.998014 	 negloss: 0.024234
epoch: 75	 task: 0 	 category: 0 	 loss: 0.003412 	 posloss: 3.813489 	 negloss: 0.027530
epoch: 80	 task: 0 	 category: 0 	 loss: 0.003241 	 posloss: 3.460254 	 negloss: 0.036217
epoch: 85	 task: 0 	 category: 0 	 loss: 0.002896 	 posloss: 3.234913 	 negloss: 0.023699
epoch: 90	 task: 0 	 category: 0 	 loss: 0.002651 	 posloss: 2.901884 	 negloss: 0.024984
epoch: 95	 task: 0 	 category: 0 	 loss: 0.002572 	 posloss: 2.814790 	 negloss: 0.024168
epoch: 100	 task: 0 	 category: 0 	 loss: 0.002236 	 posloss: 2.427178 	 negloss: 0.022921
means tensor([ 0.0176, -0.0023, -0.0365,  ..., -0.0058, -0.0047,  0.0033])
/home/sunwenju/code/visintIncre/models/idpoc.py:262: UserWarning: Casting complex values to real discards the imaginary part (Triggered internally at  ../aten/src/ATen/native/Copy.cpp:244.)
  self.pca_models[category] = torch.from_numpy(n_eigVect).float()
degree 116
epoch: 1	 task: 0 	 category: 1 	 loss: 0.032199 	 posloss: 40.376530 	 negloss: 0.040949
epoch: 5	 task: 0 	 category: 1 	 loss: 0.011282 	 posloss: 13.293879 	 negloss: 0.054412
epoch: 10	 task: 0 	 category: 1 	 loss: 0.010253 	 posloss: 12.236154 	 negloss: 0.046747
epoch: 15	 task: 0 	 category: 1 	 loss: 0.009641 	 posloss: 11.533590 	 negloss: 0.042454
epoch: 20	 task: 0 	 category: 1 	 loss: 0.009261 	 posloss: 11.061919 	 negloss: 0.041663
epoch: 25	 task: 0 	 category: 1 	 loss: 0.008995 	 posloss: 10.519178 	 negloss: 0.045536
epoch: 30	 task: 0 	 category: 1 	 loss: 0.008724 	 posloss: 10.182795 	 negloss: 0.051779
epoch: 35	 task: 0 	 category: 1 	 loss: 0.008177 	 posloss: 9.496797 	 negloss: 0.049857
epoch: 40	 task: 0 	 category: 1 	 loss: 0.007666 	 posloss: 9.024701 	 negloss: 0.041032
epoch: 45	 task: 0 	 category: 1 	 loss: 0.007105 	 posloss: 8.219571 	 negloss: 0.046077
epoch: 50	 task: 0 	 category: 1 	 loss: 0.006809 	 posloss: 7.838675 	 negloss: 0.044423
epoch: 55	 task: 0 	 category: 1 	 loss: 0.006416 	 posloss: 7.441091 	 negloss: 0.040612
epoch: 60	 task: 0 	 category: 1 	 loss: 0.006081 	 posloss: 7.017331 	 negloss: 0.040110
epoch: 65	 task: 0 	 category: 1 	 loss: 0.005737 	 posloss: 6.561133 	 negloss: 0.038681
epoch: 70	 task: 0 	 category: 1 	 loss: 0.005332 	 posloss: 6.186992 	 negloss: 0.033597
epoch: 75	 task: 0 	 category: 1 	 loss: 0.005161 	 posloss: 5.965603 	 negloss: 0.033705
epoch: 80	 task: 0 	 category: 1 	 loss: 0.004628 	 posloss: 5.375024 	 negloss: 0.027562
epoch: 85	 task: 0 	 category: 1 	 loss: 0.004242 	 posloss: 4.834244 	 negloss: 0.029187
epoch: 90	 task: 0 	 category: 1 	 loss: 0.004135 	 posloss: 4.730909 	 negloss: 0.026185
epoch: 95	 task: 0 	 category: 1 	 loss: 0.003774 	 posloss: 4.319057 	 negloss: 0.026310
epoch: 100	 task: 0 	 category: 1 	 loss: 0.003614 	 posloss: 4.146412 	 negloss: 0.025257
means tensor([ 0.0113, -0.0113,  0.0004,  ..., -0.0216,  0.0084, -0.0151])
degree 135
epoch: 1	 task: 0 	 category: 2 	 loss: 0.034081 	 posloss: 42.606861 	 negloss: 0.049624
epoch: 5	 task: 0 	 category: 2 	 loss: 0.008899 	 posloss: 10.111701 	 negloss: 0.056827
epoch: 10	 task: 0 	 category: 2 	 loss: 0.007040 	 posloss: 7.966452 	 negloss: 0.054052
epoch: 15	 task: 0 	 category: 2 	 loss: 0.005763 	 posloss: 6.645568 	 negloss: 0.038511
epoch: 20	 task: 0 	 category: 2 	 loss: 0.004970 	 posloss: 5.596622 	 negloss: 0.038604
epoch: 25	 task: 0 	 category: 2 	 loss: 0.004598 	 posloss: 5.156159 	 negloss: 0.038386
epoch: 30	 task: 0 	 category: 2 	 loss: 0.004075 	 posloss: 4.605589 	 negloss: 0.030955
epoch: 35	 task: 0 	 category: 2 	 loss: 0.003613 	 posloss: 4.032874 	 negloss: 0.030695
epoch: 40	 task: 0 	 category: 2 	 loss: 0.003352 	 posloss: 3.708226 	 negloss: 0.029981
epoch: 45	 task: 0 	 category: 2 	 loss: 0.003034 	 posloss: 3.321939 	 negloss: 0.029581
epoch: 50	 task: 0 	 category: 2 	 loss: 0.002714 	 posloss: 2.966409 	 negloss: 0.026713
epoch: 55	 task: 0 	 category: 2 	 loss: 0.002577 	 posloss: 2.711532 	 negloss: 0.030893
epoch: 60	 task: 0 	 category: 2 	 loss: 0.002191 	 posloss: 2.337690 	 negloss: 0.024246
epoch: 65	 task: 0 	 category: 2 	 loss: 0.002085 	 posloss: 2.199151 	 negloss: 0.021552
epoch: 70	 task: 0 	 category: 2 	 loss: 0.001983 	 posloss: 2.070190 	 negloss: 0.023529
epoch: 75	 task: 0 	 category: 2 	 loss: 0.001525 	 posloss: 1.558731 	 negloss: 0.020466
epoch: 80	 task: 0 	 category: 2 	 loss: 0.001281 	 posloss: 1.415254 	 negloss: 0.011795
epoch: 85	 task: 0 	 category: 2 	 loss: 0.001328 	 posloss: 1.381430 	 negloss: 0.016486
